Title,Posted Date,Rental Price,Number of bedrooms,Neighborhood,Description
San Juan Island Artisan Cottage www.vrbo.com/722287,2019-03-06,$199,1br,"Friday Harbor, WA","
        
$199 special rate.  Enjoy this ""Doorway"" to all that San Juan Islands has to offer.
Artisan Cottage, sleeps 4 with 1 bedroom with Queen bed + Queen size sleeper sofa with memory foam topper, very comfortable.
Beautiful lily pond with tree hut for outdoor naps and relaxation.
Private wooded and sunny adorn with outdoor artisan sculptures.  You know you have arrived to the drive off of Roche Harbor Rd.
Less than 1 mile to Roche Harbor Marina and Resort with whale watch and kayaking tours. 1 block to famed Sculpture Park.

www.vrbo.com/722287 for availability.    "
"Spring Break in Kona, 2bd condo, April 19-28, 2019",2019-03-06,$1600,2br,Kona,"
        
SPRING BREAK IN KONA. 9 Days of vacation at https://www.worldmarktheclub.com/resorts/ko/

2 bedroom, 2 bath condo with all the amenities. Master bedroom has King size bed. Second bedroom has two twins.

Unit Amenities
· High-speed Internet access (fee applicable)
· Air conditioning
· Cable TV
· DVD player
· Stereo with CD player
· Telephone
· Balcony/terrace
· Murphy bed 
· Washer and dryer 
· Iron and ironing board 
· Hairdryer
All units face the pool 
Resort Amenities
· Outdoor pool
· Outdoor children's pool
· Outdoor hot tub
· Barbecue grills
· Shared computer with Internet
· Elevators
· Movie Rentals
· Bed Joiners
· Gift shop and activities center
Local Activities
· Hawai`i Volcanoes National Park
· Black sand at Punallu`u Beach
· Cowboys and cattle at the world's largest ranch
· Snow on top of Mauna Kea mountain
· Hapuna State Park
· Shopping on Ali`i Drive
· Deep-sea fishing 
· Snorkeling (4-mile drive)
· Scuba diving 
· Swimming and surfing (4 miles away)
· Boating
· Hiking
· Bike riding
· Golf
· Tours
· Jet skiing
Airports
· Kailua/Kona (KOA) 20 mi
· Hilo (ITO) 91 mi    "
Dog/Kid Friendly-Fenced Yard-Walk to Beach/Blackbeards/Lighthouse,2019-03-06,$115,4br,Westport and Grayland - Washington's Coast,"
        

See photos and info on VRBO - La Casita Sea Esta - www.vrbo.com/954618 

Smaller home with great walkability to Blackbeard's and the Lighthouse/Beach Trail. Large fenced yard and great backyard fire pit area.  Kid and dog friendly.  Firepit with wood provided.  Wifi and Direct TV

Kid and dog friendly

Rates vary based on weekend/weekday and season.  Winter rates available now!
 
email or call/text to discuss your trip to the coast -    "
Week at Marriott Desert Springs Villas 2,2019-03-06,$2200,2br,Desert Springs Palm Springs CA,"
        
Enjoy a week in the desert sun in your own beautiful upscale 2 bedroom 2 bathroom spacious villa. Sleeps up to 8. Two King beds and two pull out couches. Full kitchen with all you need including a blender for margaritas! 

Multiple Pools, Tennis Courts and Resort Activities daily. Two golf courses on the property and adjacent to the Desert Springs Marriott Resort and Spa. Perfect for families or an adults only vacation. 

PRIME Spring Break Week for the PNW

Dates available are March 29th to April 5.

To view full details and photo gallery go to https://www.marriott.com/hotels/travel/ctdvi-marriotts-desert-springs-villas-ii/    "
San Juan Ocean View atop Cady Mtn www.vrbo.com/652315,2019-03-06,$295,3br,San Juan Island,"
        
$395 Special rate.  PLEASE VISIT www.vrbo.com/652315 for availability.  

This is a special Northwest home. We know you'll relax and decompress in this unique and serene location and enjoy the very special place that is San Juan Island. The home is outfitted to suit the vacationer with walls of windows and skylights to let the warm Pacific Northwest Sun to flow throughtout the well appointed valulted rooms
As you step into this contemporary vacation home perched atop Cady mountain, you are drawn to the wall of windows and stunning forested ocean views encompassing Canada's Vancouver Island and the beautiful Haro Strait. Step out to wrap around decks. This newly custom built home is a warm and friendly environment and allows you to participate in all that nature has to offer. Orcas, deer, fox, eagle and a myriad of birds. Watch international shipping traffic, whale watching boats and sailboats. Track the maritime traffic with your laptop from any room in the house with high-speed WiFi. Make good use of the telescope and binoculars! Cook your gourmet meals at home in the fully equipped kitchen. 
The house is filled with light -- windows surround the 'Great Room' = living and dining with kitchen bar seating separating the kitchen. Drift off to sleep in luxurious memory foam beds to the sight of stars overhead and ships passing in the night as you lift your head from bed.
If you're able to pull yourself away from the views and activites, the living room includes a 43"" HD TV with Dish network programming. High-speed WiFi internet access and free long-distance domestic calls.
San Juan Island is the best location in all of the Pacific Northwest for viewing the resident Orca pods. These magnificent animals provide exuberant displays as they feed on salmon, traveling back and forth in the waters immediately in front of this home, sometimes several times each day. San Juan waters have been identified by Whale Museum biologists as a prime feeding area for the ""J"", ""K"", and ""L"" pods during the summer months.
Come see why the New York Times listed the San Juan Islands as #2 in their ""Where to Go in 2011"" guide -- a list of 40 not-to-be-missed places around the world. Welcome to Paradise!    "
San Juan Island Waterfront Beach House visit www.homeaway.com/381247,2019-03-06,$300,3br,San Juan Island,"
        
visit www.homeaway.com/381247 for availability. 
$300 special rate.
Waterfront with beach.  Beach house with 3 bedrooms, 2 full bath.  Master w/King, BR2 Queen, BR3(2)Doubles.
Enjoy this hidden paradise. 
 Share this quiet, cozy,  comfortable,
   San Juan Island Waterfront Home with friends or family. Launch Kayak
 Comfortably sleeps 8. MB=King, BR2=Queen, BR3=(2) Doubles.
   A Luxurious Affordable Vacation Destination on San Juan Island offering the best in San Juan Island Lodging.
•	 Located on the sunny side of San Juan Island. 
• 	If you are looking for a relaxing quiet island setting, look no further.
• 	Soak in sun all day while you enjoy the panoramic views .
•  	BBQ in your own park like yard steps. 
•	Enjoy an evening campfire on the beach 
•	3 bedroom, 2 full Baths 
•  	Great Room, Dining Room, Kitchen, Laundry Room
•	  40' + of outdoor deck
•	  Patio Furniture
•	 Gas Bar B-Q
•	 Park like grounds leading to waters edge
•	 Beach side fire pit
•	 Picnic Table
•	Indoor and outdoor Toys for Children & Adults
•	A luxurious affordable vacation destination.
•	Catering to families and friends getaways.
•	Endless variety of activities year round.
•	Sitting on 1/2 acre of lush countryside 
•	Relaxed quiet setting.
•	Walk out Beach .
We hope that our attention to detail shines through each and every moment of your stay. We've tailored each room, our hospitality and amenities to make your stay as enjoyable and relaxing as possible.
All that is missing is you ----- Come Visit!

    "
SJI cottage w/pvt Pond & rowboat vrbo.com/1088900,2019-03-06,$149,1br,San Juan Island,"
        
$125/nt special rate.  Check for availability on www.vrbo.com/1088900. Enjoy San Juan Island. Center of San Juan Island.  3.5 miles t o Friday Harbor and Roche Harbor's resort, spa, marinas.
Cozy Island Style, Cottage Retreat with private pond an rowboat to relax the day away.
An Island getaway in a nicely treed and landscaped property overlooking a beautiful spring fed pond.  Sunny location with a sky lite covered patio for seasonal dining.  Private pond to relax and enjoy outdoor napping, reading and bird watching. Take a relaxing spin in the row boat provided. Bicyclist will especially like this perfect location to access all the sites and activities the Island has to offer. Separate secure storage for safe keeping of your bikes.   Roche Harbor is where you will find restaurants, live music, live theatre, grocery shopping, boating, whale watch tours, kayaking, swimming pool, a famed mausoleum, Kenmore Air float planes and a small airport for wheeled service.   San Juan Island's Sculpture Park is a must see with over 120 large sculptures displayed within 20 acres of fields and nature walks.  We are also the doorway to breathtaking hiking trails atop Mount Young where you can view the Gulf Islands, the Olympic Peninsula and the Straits of Juan de Fuca.  At the base of Mt. Young you will find the English Camp with its museum depicting the major episodes from the history of San Juan Island dating back to Colonial times.  And then after all this it is only a short jaunt to Westcott Bay Shellfish Company for fresh oysters and clams to augment your evening meal. 
Other features are one bedroom, open living room to kitchen floor plan.  Spacious bathroom, Wi-Fi, big screen television with DISH network programming.  Wood stove fireplace.  Enjoy having a BBQ on the patio overlooking the pond; Fire pit for evening fireside relaxation.  Read, nap or play board games on the covered deck.  Gaze at the eagles, owls, and other riparian friends that make their home on the property.    "
Argyle House B&B www.argylehouse.net,2019-03-06,$130,5br,685 Argyle Ave.,"
        
Comfortable accommodations, gracious hospitality, charm and character are what you will find at child-friendly and pet-friendly Argyle House Bed and Breakfast. (3) rooms in-house $130-$140/nt and (2) stand alone cottages $175/nt.  Go to www.argylehouse.net for availability.
This original 1910 Craftsman design home on San Juan Island in Washington is situated on beautiful grounds located just two blocks from downtown Friday Harbor and six blocks from the Washington State Ferry landing.
A quiet stroll in the morning air from the B&B down to the harbor is just the way to prepare for a delicious breakfast and day of memorable activities. Your innkeepers are always available to share their knowledge of the San Juan Islands for any planning or questions you may have. Return from your day out and about the island to relax on the porch, in our gardens, or soak in the  hot tub before you enjoy a wonderful dinner at one of San Juan Island's excellent restaurants.
Argyle House Bed & Breakfast welcomes you, your dog, and your children to our island family and we look forward to being a part of your vacation to the San Juans.    "
San Juan Vacation Home Ocean View w/Hot Tub www.vrbo.com/213788,2019-03-06,$199,1br,"San Juan Island, Friday Harbor","
        
Special $199 rate.  PLEASE VISIT www.vrbo.com/213788  Check Calendar for availability.  
Experience the Pacific Northwest -- Island Style while staying in our lovely vacation home overlooking the Ocean to Vancouver Island B.C.  Located on the west side of San Juan Island, this beautiful, privately located, romantic ocean view home was custom built with attention to the creative details. 

This 1,200 sf custom designed cedar sided cozy bungalow with a very efficient wood stove to enjoy when ambiance and warmth are the inspiration.  Relax in our toasty outdoor hot tub and enjoy world famous sunsets on the Westside of San Juan Island.  Propane force air as well as wood stove heated 

Our Home includes 1 Bedroom, 1 Bath, Gourmet Kitchen, Dining, Lovely Living Room with convertible trundle couch that serves as 2 twins, wood stove, and separate laundry room.

The Master Bedroom is located on the second floor and includes a comfortable King size bed built on platform with an ocean view. You can stargaze through your above bed skylight.  Couch in MB is a dbl sized sofa sleeper. The Bath includes a large walk-in tiled shower.  Propane forced air as well as wood stove heated.

The Home has wireless internet access, dvd player and DISH satellite HD 50"" TV and Stereo.

Best of all is whale watching as this stretch of shoreline has been identified by a whale museum biologist as a feeding area for Orcas. Watch whales pass by from the deck as their PODS come within a few yards of shore, hunting salmon.  Use the provided binoculars to see every detail.

There is plenty to do in the neighborhood with beach access at Snug Harbor Resort. Bird watching is superb, with resident Harlequin ducks and a nearby active Bald eagle's nest. Watch fox, otter, and deer close by, or pack your favorite beverages, a great book, and a picnic basket, and relax at one of the many close County, State, National and Historic parks.

This 1200+ square foot vacation rental location is truly the Pacific Northwest at its finest. 
PLEASE VISIT www.vrbo.com/213788  Check Calendar for availability.  
PET FRIENDLY.  $25 per pet fee, limit 2.
Special $199/nt - $1300 week    "
Crescent Bungalow,2019-03-06,$300,2br,"Crescent Bar, Washington","
        
Newer 2 bedroom, 2 bath home with attached Garage.WIFI and Dish.
 Pool and hot tub are just steps away from the back patio.
 Bungalow includes a full kitchen with coffee maker, blender, waffle maker, and toaster. Also included are a full size washer and dryer and gas barbecue! Bungalow sleeps eight comfortably. 
The community  with one large centrally located pool, splash pool and hot tub. There are showers and restroom facilities within this area for your convenience.  Property includes a play field with softball diamond, 2 tennis courts and a basketball court, all within walking distance. Crescent bar has two restaurants, two coffee shops,  ice cream parlor,  two golf courses. Sunserra boasts an executive course and Crescent bar offers a full 9-hole course with golf cart rentals. Boat and jet ski rentals. Concert transportation to the gorge is available in Sunserra.

WEEK RATES $1200 to $1600 weekly including tax but  plus deposit  and cleaning fee $125 to 


Mid week specials
Reduced week rates
Golf cart available
Alexa is here too
Shuttle service to gorge and wineries is available 

 Weekdays Available!!!!
Weekends are all booked

 
Aug 20 21 22 23
Aug  27 28 29 
 INCLUDES a golf cart for mid week rentals 

Posible long term 7 to 8 months


Please call or email me with your dates.




Call Ronna
 
    "
